"ID","Height_Ext","Length_Ext","Width_Ext","Thick","Volume_Intermal","Price_RRC"
"2.2_3.3_3.3_80","2.2","3.3","3.3","80","20.11","309798"
"2.2_3.3_3.46_80","2.2","3.3","3.46","80","21.14","319357"
"2.2_3.3_3.6_80","2.2","3.3","3.6","80","22.04","327721"
"2.2_3.3_3.76_80","2.2","3.3","3.76","80","23.06","337279"
"2.2_3.3_3.9_80","2.2","3.3","3.9","80","23.96","345643"
"2.2_3.3_4.06_80","2.2","3.3","4.06","80","24.98","355202"
"2.2_3.3_4.2_80","2.2","3.3","4.2","80","25.88","363565"
"2.2_3.3_4.36_80","2.2","3.3","4.36","80","26.9","373124"
"2.2_3.3_4.5_80","2.2","3.3","4.5","80","27.8","381488"
"2.2_3.3_4.66_80","2.2","3.3","4.66","80","28.83","391046"
"2.2_3.3_4.8_80","2.2","3.3","4.8","80","29.72","399410"
"2.2_3.3_4.96_80","2.2","3.3","4.96","80","30.75","408969"
"2.2_3.3_5.1_80","2.2","3.3","5.1","80","31.64","417332"
"2.2_3.3_5.26_80","2.2","3.3","5.26","80","32.67","426891"
"2.2_3.3_5.4_80","2.2","3.3","5.4","80","33.57","435255"
"2.2_3.3_5.56_80","2.2","3.3","5.56","80","34.59","444813"
"2.2_3.3_5.7_80","2.2","3.3","5.7","80","35.49","453177"
"2.2_3.3_5.86_80","2.2","3.3","5.86","80","36.51","462735"
"2.2_3.3_6_80","2.2","3.3","6","80","37.41","471099"
"2.2_3.3_6.16_80","2.2","3.3","6.16","80","38.43","480658"
"2.2_3.3_6.3_80","2.2","3.3","6.3","80","39.33","489021"
"2.2_3.3_6.46_80","2.2","3.3","6.46","80","40.36","504491"
"2.2_3.3_6.6_80","2.2","3.3","6.6","80","41.25","512855"
"2.2_3.3_6.76_80","2.2","3.3","6.76","80","42.28","522414"
"2.2_3.3_6.9_80","2.2","3.3","6.9","80","43.17","530778"
"2.2_3.3_7.06_80","2.2","3.3","7.06","80","44.2","540336"
"2.2_3.46_3.46_80","2.2","3.46","3.46","80","22.22","329198"
"2.2_3.46_3.6_80","2.2","3.46","3.6","80","23.16","337810"
"2.2_3.46_3.76_80","2.2","3.46","3.76","80","24.24","347651"
"2.2_3.46_3.9_80","2.2","3.46","3.9","80","25.18","356262"
"2.2_3.46_4.06_80","2.2","3.46","4.06","80","26.25","366103"
"2.2_3.46_4.2_80","2.2","3.46","4.2","80","27.2","374714"
"2.2_3.46_4.36_80","2.2","3.46","4.36","80","28.27","384556"
"2.2_3.46_4.5_80","2.2","3.46","4.5","80","29.22","393167"
"2.2_3.46_4.66_80","2.2","3.46","4.66","80","30.29","403008"
"2.2_3.46_4.8_80","2.2","3.46","4.8","80","31.24","411619"
"2.2_3.46_4.96_80","2.2","3.46","4.96","80","32.31","421461"
"2.2_3.46_5.1_80","2.2","3.46","5.1","80","33.26","430072"
"2.2_3.46_5.26_80","2.2","3.46","5.26","80","34.33","439913"
"2.2_3.46_5.4_80","2.2","3.46","5.4","80","35.28","448524"
"2.2_3.46_5.56_80","2.2","3.46","5.56","80","36.35","458366"
"2.2_3.46_5.7_80","2.2","3.46","5.7","80","37.3","466977"
"2.2_3.46_5.86_80","2.2","3.46","5.86","80","38.37","476818"
"2.2_3.46_6_80","2.2","3.46","6","80","39.31","485429"
"2.2_3.46_6.16_80","2.2","3.46","6.16","80","40.39","501182"
"2.2_3.46_6.3_80","2.2","3.46","6.3","80","41.33","509793"
"2.2_3.46_6.46_80","2.2","3.46","6.46","80","42.41","519635"
"2.2_3.46_6.6_80","2.2","3.46","6.6","80","43.35","528246"
"2.2_3.46_6.76_80","2.2","3.46","6.76","80","44.43","538087"
"2.2_3.46_6.9_80","2.2","3.46","6.9","80","45.37","546698"
"2.2_3.46_7.06_80","2.2","3.46","7.06","80","46.45","556540"
"2.2_3.46_7.2_80","2.2","3.46","7.2","80","47.39","565151"
"2.2_3.6_3.6_80","2.2","3.6","3.6","80","24.14","346637"
"2.2_3.6_3.76_80","2.2","3.6","3.76","80","25.26","356726"
"2.2_3.6_3.9_80","2.2","3.6","3.9","80","26.25","365554"
"2.2_3.6_4.06_80","2.2","3.6","4.06","80","27.37","375642"
"2.2_3.6_4.2_80","2.2","3.6","4.2","80","28.35","384470"
"2.2_3.6_4.36_80","2.2","3.6","4.36","80","29.47","394559"
"2.2_3.6_4.5_80","2.2","3.6","4.5","80","30.46","403386"
"2.2_3.6_4.66_80","2.2","3.6","4.66","80","31.58","413475"
"2.2_3.6_4.8_80","2.2","3.6","4.8","80","32.56","422303"
"2.2_3.6_4.96_80","2.2","3.6","4.96","80","33.68","432391"
"2.2_3.6_5.1_80","2.2","3.6","5.1","80","34.67","441219"
"2.2_3.6_5.26_80","2.2","3.6","5.26","80","35.79","451308"
"2.2_3.6_5.4_80","2.2","3.6","5.4","80","36.77","460135"
"2.2_3.6_5.56_80","2.2","3.6","5.56","80","37.9","470224"
"2.2_3.6_5.7_80","2.2","3.6","5.7","80","38.88","479052"
"2.2_3.6_5.86_80","2.2","3.6","5.86","80","40","495052"
"2.2_3.6_6_80","2.2","3.6","6","80","40.98","503880"
"2.2_3.6_6.16_80","2.2","3.6","6.16","80","42.11","513968"
"2.2_3.6_6.3_80","2.2","3.6","6.3","80","43.09","522796"
"2.2_3.6_6.46_80","2.2","3.6","6.46","80","44.21","532885"
"2.2_3.6_6.6_80","2.2","3.6","6.6","80","45.19","541712"
"2.2_3.6_6.76_80","2.2","3.6","6.76","80","46.32","551801"
"2.2_3.6_6.9_80","2.2","3.6","6.9","80","47.3","560629"
"2.2_3.6_7.06_80","2.2","3.6","7.06","80","48.42","570717"
"2.2_3.6_7.2_80","2.2","3.6","7.2","80","49.4","579545"
"2.2_3.6_7.36_80","2.2","3.6","7.36","80","50.53","589634"
"2.2_3.76_3.76_80","2.2","3.76","3.76","80","26.44","367097"
"2.2_3.76_3.9_80","2.2","3.76","3.9","80","27.47","376172"
"2.2_3.76_4.06_80","2.2","3.76","4.06","80","28.64","386544"
"2.2_3.76_4.2_80","2.2","3.76","4.2","80","29.67","395619"
"2.2_3.76_4.36_80","2.2","3.76","4.36","80","30.84","405990"
"2.2_3.76_4.5_80","2.2","3.76","4.5","80","31.87","415066"
"2.2_3.76_4.66_80","2.2","3.76","4.66","80","33.05","425437"
"2.2_3.76_4.8_80","2.2","3.76","4.8","80","34.08","434512"
"2.2_3.76_4.96_80","2.2","3.76","4.96","80","35.25","444884"
"2.2_3.76_5.1_80","2.2","3.76","5.1","80","36.28","453959"
